Azimuthal dependency
Alpha  Phi  Amplitude
0.000 0.000 59.397
10.000 10.000 56.368
20.000 20.000 58.741
30.000 30.000 58.487
40.000 40.000 58.830
50.000 50.000 58.374
60.000 60.000 59.296
70.000 70.000 58.161
80.000 80.000 58.668
90.000 90.000 59.671
100.000 100.000 47.236
110.000 110.000 58.600
120.000 120.000 58.894
130.000 130.000 57.424
140.000 140.000 56.129
150.000 150.000 57.603
160.000 160.000 56.997
170.000 170.000 56.009
180.000 180.000 57.879
