Azimuthal dependency
Alpha  Phi  Amplitude
0.000 0.000 19.598
10.000 10.000 18.986
20.000 20.000 14.504
30.000 30.000 9.961
40.000 40.000 4.443
50.000 50.000 4.122
60.000 60.000 10.603
70.000 70.000 14.361
80.000 80.000 19.396
90.000 90.000 20.325
100.000 100.000 19.093
110.000 110.000 15.358
120.000 120.000 9.272
130.000 130.000 4.182
140.000 140.000 5.290
150.000 150.000 11.860
160.000 160.000 16.956
170.000 170.000 20.246
180.000 180.000 21.138
