Azimuthal dependency
Alpha  Phi  Amplitude
0.000 0.000 123.627
10.000 10.000 121.733
20.000 20.000 115.967
30.000 30.000 107.748
40.000 40.000 95.089
50.000 50.000 78.810
60.000 60.000 61.690
70.000 70.000 42.247
80.000 80.000 24.536
90.000 90.000 5.812
100.000 100.000 14.728
110.000 110.000 35.778
120.000 120.000 53.510
130.000 130.000 71.575
140.000 140.000 87.478
150.000 150.000 98.171
160.000 160.000 107.993
170.000 170.000 112.963
180.000 180.000 115.358
