 ,links,rechts
Ordnumg 1 $\to$ 2,\SI{16.7 \pm 0.18}{e\volt},\SI{16.7 \pm 0.18}{e\volt}
Ordnumg 2 $\to$ 3,\SI{18.4 \pm 0.18}{e\volt},\SI{18.5 \pm 0.18}{e\volt}
