Nebenminima,Erste Ordnung,Zweite Ordnung,Dritte Ordnung
links,\SI{25.9 \pm 0.8}{\volt},\SI{42.599999999999994 \pm 0.8}{\volt},\SI{44.6 \pm 0.8}{\volt}
rechts,\SI{27.9 \pm 0.8}{\volt},\SI{44.6 \pm 0.8}{\volt},\SI{61.0 \pm 0.8}{\volt}
