# Cursors in Graph
f in Hz	A in dBV
180.175781	-14.650953
294.433594	-13.686075
399.902344	-15.307805
499.511719	-15.103695
704.589844	-14.284078

# Spectral Data
f in Hz	A in dBV
0.000000	-14.722246
1.464844	-13.991814
2.929687	-13.387829
4.394531	-12.875138
5.859375	-12.430201
7.324219	-12.116118
8.789062	-11.915323
10.253906	-11.830859
11.718750	-11.829782
13.183594	-11.907717
14.648437	-11.997542
16.113281	-12.094086
17.578125	-12.239202
19.042969	-12.378292
20.507812	-12.524903
21.972656	-12.641648
23.437500	-12.740892
24.902344	-12.817573
26.367187	-12.887354
27.832031	-12.954151
29.296875	-13.024892
30.761719	-13.111410
32.226562	-13.162288
33.691406	-13.230400
35.156250	-13.308073
36.621094	-13.377440
38.085937	-13.423335
39.550781	-13.437725
41.015625	-13.463781
42.480469	-13.515170
43.945312	-13.549459
45.410156	-13.584472
46.875000	-13.602920
48.339844	-13.587128
49.804687	-13.552232
51.269531	-13.417749
52.734375	-13.199797
54.199219	-13.000049
55.664062	-12.897382
57.128906	-12.943994
58.593750	-13.149880
60.058594	-13.418418
61.523437	-13.572116
62.988281	-13.604299
64.453125	-13.611909
65.917969	-13.607186
67.382812	-13.604751
68.847656	-13.592756
70.312500	-13.583716
71.777344	-13.526710
73.242187	-13.499422
74.707031	-13.457603
76.171875	-13.450723
77.636719	-13.440041
79.101562	-13.410803
80.566406	-13.413249
82.031250	-13.397008
83.496094	-13.418080
84.960937	-13.467728
86.425781	-13.504860
87.890625	-13.557743
89.355469	-13.625403
90.820312	-13.658729
92.285156	-13.677970
93.750000	-13.703003
95.214844	-13.753134
96.679687	-13.763272
98.144531	-13.758993
99.609375	-13.773418
101.074219	-13.810237
102.539062	-13.809713
104.003906	-13.834825
105.468750	-13.823758
106.933594	-13.830847
108.398437	-13.882413
109.863281	-13.940758
111.328125	-13.967809
112.792969	-13.967513
114.257812	-13.961923
115.722656	-13.961520
117.187500	-13.969170
118.652344	-13.953644
120.117187	-13.931579
121.582031	-13.912686
123.046875	-13.912693
124.511719	-13.850858
125.976562	-13.823409
127.441406	-13.780806
128.906250	-13.737290
130.371094	-13.715480
131.835937	-13.648030
133.300781	-13.543488
134.765625	-13.434444
136.230469	-13.298002
137.695312	-13.160951
139.160156	-12.993301
140.625000	-12.825749
142.089844	-12.702587
143.554687	-12.648833
145.019531	-12.660293
146.484375	-12.765664
147.949219	-12.912245
149.414062	-13.105043
150.878906	-13.295007
152.343750	-13.422645
153.808594	-13.457937
155.273437	-13.470903
156.738281	-13.529191
158.203125	-13.681264
