# Cursors in Graph
f in Hz	A in dBV
180.175781	-14.551303
294.433594	-13.344441
399.902344	-15.429393
499.511719	-15.086096
704.589844	-14.287195

# Spectral Data
f in Hz	A in dBV
0.000000	-14.543656
1.464844	-13.791110
2.929687	-13.143687
4.394531	-12.578441
5.859375	-12.112804
7.324219	-11.780815
8.789062	-11.589478
10.253906	-11.519441
11.718750	-11.527465
13.183594	-11.617204
14.648437	-11.752124
16.113281	-11.928371
17.578125	-12.119831
19.042969	-12.289322
20.507812	-12.459194
21.972656	-12.611453
23.437500	-12.691259
24.902344	-12.769292
26.367187	-12.846335
27.832031	-12.917608
29.296875	-12.975722
30.761719	-13.016264
32.226562	-13.073234
33.691406	-13.130260
35.156250	-13.196293
36.621094	-13.259397
38.085937	-13.303496
39.550781	-13.349732
41.015625	-13.375367
42.480469	-13.441954
43.945312	-13.517120
45.410156	-13.551532
46.875000	-13.567707
48.339844	-13.569839
49.804687	-13.493248
51.269531	-13.320066
52.734375	-13.001345
54.199219	-12.742348
55.664062	-12.627518
57.128906	-12.680689
58.593750	-12.886360
60.058594	-13.206727
61.523437	-13.504624
62.988281	-13.617245
64.453125	-13.591370
65.917969	-13.579540
67.382812	-13.559327
68.847656	-13.529630
70.312500	-13.481982
71.777344	-13.461247
73.242187	-13.397975
74.707031	-13.339489
76.171875	-13.303947
77.636719	-13.312994
79.101562	-13.324877
80.566406	-13.357689
82.031250	-13.379264
83.496094	-13.419724
84.960937	-13.456821
86.425781	-13.454560
87.890625	-13.481214
89.355469	-13.512650
90.820312	-13.543262
92.285156	-13.570052
93.750000	-13.590133
95.214844	-13.614704
96.679687	-13.611160
98.144531	-13.623701
99.609375	-13.662164
101.074219	-13.678300
102.539062	-13.679222
104.003906	-13.692046
105.468750	-13.696507
106.933594	-13.713610
108.398437	-13.783539
109.863281	-13.858638
111.328125	-13.879594
112.792969	-13.863263
114.257812	-13.858510
115.722656	-13.856123
117.187500	-13.832150
118.652344	-13.816851
120.117187	-13.792359
121.582031	-13.786922
123.046875	-13.786162
124.511719	-13.780188
125.976562	-13.728569
127.441406	-13.684840
128.906250	-13.643527
130.371094	-13.621250
131.835937	-13.590024
133.300781	-13.525317
134.765625	-13.449641
136.230469	-13.362135
137.695312	-13.254900
139.160156	-13.073088
140.625000	-12.889119
142.089844	-12.723923
143.554687	-12.615522
145.019531	-12.544308
146.484375	-12.551308
147.949219	-12.648733
149.414062	-12.800230
150.878906	-12.964210
152.343750	-13.100999
153.808594	-13.181816
155.273437	-13.210156
156.738281	-13.292299
158.203125	-13.472769
159.667969	-13.740380
161.132812	-13.971412
162.597656	-14.113502
164.062500	-14.194170
165.527344	-14.244892
166.992187	-14.307723
168.457031	-14.356811
169.921875	-14.405268
171.386719	-14.442335
172.851562	-14.472380
174.316406	-14.462222
175.781250	-14.468773
177.246094	-14.476171
178.710937	-14.526132
180.175781	-14.551303
181.640625	-14.577962
183.105469	-14.610574
184.570312	-14.610597
186.035156	-14.595457
187.500000	-14.595856
188.964844	-14.609223
190.429687	-14.618433
191.894531	-14.625699
193.359375	-14.638647
194.824219	-14.649845
196.289062	-14.643433
197.753906	-14.646681
199.218750	-14.638992
200.683594	-14.605106
202.148437	-14.585758
203.613281	-14.573504
205.078125	-14.556637
206.542969	-14.560440
208.007812	-14.555284
209.472656	-14.556071
210.937500	-14.512508
212.402344	-14.480023
213.867187	-14.475393
215.332031	-14.489749
216.796875	-14.460099
218.261719	-14.416143
219.726562	-14.388530
221.191406	-14.367009
222.656250	-14.340656
224.121094	-14.310176
225.585937	-14.273921
227.050781	-14.225265
228.515625	-14.178373
229.980469	-14.147435
231.445312	-14.124575
232.910156	-14.081955
234.375000	-14.057615
235.839844	-14.027871
237.304687	-13.998493
238.769531	-13.983242
240.234375	-13.986343
241.699219	-13.982616
243.164062	-13.999217
244.628906	-14.012024
246.093750	-13.986274
247.558594	-13.954376
249.023437	-13.910815
250.488281	-13.878083
251.953125	-13.840903
253.417969	-13.768448
254.882812	-13.692730
256.347656	-13.671164
257.812500	-13.680205
259.277344	-13.664264
260.742187	-13.660505
262.207031	-13.653925
263.671875	-13.618541
265.136719	-13.583396
266.601562	-13.564009
268.066406	-13.538080
269.531250	-13.476920
270.996094	-13.437726
272.460937	-13.394057
273.925781	-13.347758
275.390625	-13.267003
276.855469	-13.180709
278.320312	-13.076587
279.785156	-12.994016
281.250000	-12.921492
282.714844	-12.854703
284.179687	-12.778890
285.644531	-12.747806
287.109375	-12.769110
288.574219	-12.842289
290.039062	-12.961936
291.503906	-13.100135
292.968750	-13.217206
294.433594	-13.344441
295.898437	-13.510460
297.363281	-13.664702
298.828125	-13.819691
300.292969	-13.942641
301.757812	-14.055891
303.222656	-14.128942
304.687500	-14.203325
306.152344	-14.285080
307.617187	-14.376363
309.082031	-14.453312
310.546875	-14.510663
312.011719	-14.567664
313.476562	-14.605271
314.941406	-14.641529
316.406250	-14.698420
317.871094	-14.771899
319.335937	-14.820782
320.800781	-14.890114
322.265625	-14.967130
323.730469	-15.025687
325.195312	-15.086174
326.660156	-15.145325
328.125000	-15.204486
329.589844	-15.252985
331.054687	-15.288766
332.519531	-15.310264
333.984375	-15.331409
335.449219	-15.370618
336.914062	-15.440212
338.378906	-15.478949
339.843750	-15.517632
341.308594	-15.562882
342.773437	-15.617815
344.238281	-15.643039
345.703125	-15.661419
347.167969	-15.700864
348.632812	-15.730779
350.097656	-15.594515
351.562500	-15.257536
353.027344	-14.913484
354.492187	-14.683959
355.957031	-14.615653
357.421875	-14.711027
358.886719	-14.978449
360.351562	-15.390787
361.816406	-15.748986
363.281250	-15.846492
364.746094	-15.857609
366.210937	-15.875410
367.675781	-15.887239
369.140625	-15.878929
370.605469	-15.869926
372.070312	-15.841744
373.535156	-15.829139
375.000000	-15.829146
376.464844	-15.828013
377.929687	-15.819237
379.394531	-15.778356
380.859375	-15.739467
382.324219	-15.659501
383.789062	-15.627976
385.253906	-15.608679
386.718750	-15.573530
388.183594	-15.569058
389.648437	-15.579870
391.113281	-15.593573
392.578125	-15.559799
394.042969	-15.523015
395.507812	-15.519266
396.972656	-15.520499
398.437500	-15.501082
399.902344	-15.429393
401.367187	-15.353224
402.832031	-15.300500
404.296875	-15.253081
405.761719	-15.194440
407.226562	-15.105107
408.691406	-15.009072
410.156250	-14.933202
411.621094	-14.819127
413.085937	-14.713548
414.550781	-14.599555
416.015625	-14.507006
417.480469	-14.399960
418.945312	-14.266500
420.410156	-14.153835
421.875000	-14.040971
423.339844	-13.930832
424.804687	-13.843908
426.269531	-13.836626
427.734375	-13.854540
429.199219	-13.929652
430.664062	-14.005900
432.128906	-14.079551
433.593750	-14.158085
435.058594	-14.244249
436.523437	-14.307563
437.988281	-14.377711
439.453125	-14.476984
440.917969	-14.551267
442.382812	-14.607481
443.847656	-14.646238
445.312500	-14.675163
446.777344	-14.720206
448.242187	-14.757455
449.707031	-14.788867
451.171875	-14.736224
452.636719	-14.569537
454.101562	-14.385861
455.566406	-14.278406
457.031250	-14.317830
458.496094	-14.479420
459.960937	-14.673256
