# Cursors in Graph
f in Hz	A in dBV
180.175781	-14.006145
313.476562	-14.360520
416.015625	-14.465572
520.019531	-14.236228
692.871094	-14.704870

# Spectral Data
f in Hz	A in dBV
0.000000	-13.512561
1.464844	-12.805730
2.929687	-12.247679
4.394531	-11.836193
5.859375	-11.541116
7.324219	-11.365544
8.789062	-11.269823
10.253906	-11.289629
11.718750	-11.362452
13.183594	-11.447888
14.648437	-11.565639
16.113281	-11.722499
17.578125	-11.885073
19.042969	-12.040112
20.507812	-12.180286
21.972656	-12.299422
23.437500	-12.348645
24.902344	-12.429736
26.367187	-12.478580
27.832031	-12.523467
29.296875	-12.582527
30.761719	-12.606815
32.226562	-12.634163
33.691406	-12.702780
35.156250	-12.759152
36.621094	-12.813042
38.085937	-12.869946
39.550781	-12.896198
41.015625	-12.918536
42.480469	-12.980022
43.945312	-12.997350
45.410156	-13.014943
46.875000	-13.075521
48.339844	-13.053838
49.804687	-13.021166
51.269531	-12.924277
52.734375	-12.659235
54.199219	-12.438853
55.664062	-12.364302
57.128906	-12.439122
58.593750	-12.648364
60.058594	-12.940050
61.523437	-13.089666
62.988281	-13.147630
64.453125	-13.158263
65.917969	-13.123333
67.382812	-13.110724
68.847656	-13.086672
70.312500	-13.067723
71.777344	-13.016169
73.242187	-12.966174
74.707031	-12.957611
76.171875	-12.961678
77.636719	-12.953215
79.101562	-12.965944
80.566406	-13.005173
82.031250	-13.027086
83.496094	-13.053845
84.960937	-13.110846
86.425781	-13.149684
87.890625	-13.175625
89.355469	-13.219909
90.820312	-13.229151
92.285156	-13.236926
93.750000	-13.236916
95.214844	-13.257689
96.679687	-13.297137
98.144531	-13.327411
99.609375	-13.354897
101.074219	-13.385758
102.539062	-13.379748
104.003906	-13.382308
105.468750	-13.386664
106.933594	-13.385094
108.398437	-13.399748
109.863281	-13.389211
111.328125	-13.376451
112.792969	-13.371809
114.257812	-13.394150
115.722656	-13.399356
117.187500	-13.382954
118.652344	-13.362736
120.117187	-13.349155
121.582031	-13.308699
123.046875	-13.256854
124.511719	-13.174890
125.976562	-13.090987
127.441406	-12.973639
128.906250	-12.845938
130.371094	-12.671880
131.835937	-12.504244
133.300781	-12.397143
134.765625	-12.342927
136.230469	-12.391216
137.695312	-12.500204
139.160156	-12.655027
140.625000	-12.853136
142.089844	-13.023362
143.554687	-13.182176
145.019531	-13.292549
146.484375	-13.387713
147.949219	-13.464899
149.414062	-13.528345
150.878906	-13.556383
152.343750	-13.455004
153.808594	-13.264714
155.273437	-13.138754
156.738281	-13.163359
158.203125	-13.318911
159.667969	-13.554169
161.132812	-13.794875
162.597656	-13.935961
164.062500	-13.952472
165.527344	-13.954866
166.992187	-13.941968
168.457031	-13.923415
169.921875	-13.937961
171.386719	-13.983366
172.851562	-14.025898
174.316406	-14.047912
