# Cursors in Graph
f in Hz	A in dBV
413.085937	-14.258623
414.550781	-14.158815
416.015625	-14.034854
417.480469	-13.962318
418.945312	-13.965788
420.410156	-13.983433
421.875000	-14.001818
423.339844	-14.086345
424.804687	-14.211869
426.269531	-14.269684
427.734375	-14.316211
429.199219	-14.419069
430.664062	-14.517588
432.128906	-14.603336
433.593750	-14.646978
435.058594	-14.652726
436.523437	-14.692680
437.988281	-14.701418
439.453125	-14.720707
440.917969	-14.767630
442.382812	-14.841934
443.847656	-14.906421
445.312500	-14.934696
446.777344	-14.984591
448.242187	-14.978453
449.707031	-14.928298
451.171875	-14.781902
452.636719	-14.507887
454.101562	-14.281946
455.566406	-14.189435
457.031250	-14.231955
458.496094	-14.422083
459.960937	-14.699794
461.425781	-14.883235
462.890625	-14.936853
464.355469	-14.959065
465.820312	-14.978180
467.285156	-15.000135
468.750000	-14.973288
470.214844	-14.964290
471.679687	-14.997501
473.144531	-15.017248
474.609375	-15.030892
476.074219	-15.046406
477.539062	-15.031078
479.003906	-15.024901
480.468750	-15.010544
481.933594	-15.008589
483.398437	-15.007126
484.863281	-14.992554
486.328125	-14.991188
487.792969	-15.011599
489.257812	-15.027851
490.722656	-15.045688
492.187500	-15.065855
493.652344	-15.100627
495.117187	-15.129233
496.582031	-15.168878
498.046875	-15.168659
499.511719	-15.200787
500.976562	-15.254865
502.441406	-15.253861
503.906250	-15.231621
505.371094	-15.228548
506.835937	-15.247010
508.300781	-15.240616
509.765625	-15.260497
511.230469	-15.255599
512.695312	-15.246433
514.160156	-15.291596
515.625000	-15.322695
517.089844	-15.323350
518.554687	-15.345110
520.019531	-15.375284
521.484375	-15.401985
522.949219	-15.378019
524.414062	-15.413978
525.878906	-15.429716
527.343750	-15.440292
528.808594	-15.430993
530.273437	-15.395492
531.738281	-15.376189
533.203125	-15.380030
534.667969	-15.357881
536.132812	-15.302180
537.597656	-15.282841
539.062500	-15.267906
540.527344	-15.251230
541.992187	-15.250127
543.457031	-15.231504
544.921875	-15.159492
546.386719	-15.091814
547.851562	-15.058847
549.316406	-14.934847
550.781250	-14.808792
552.246094	-14.692484
553.710937	-14.601884
555.175781	-14.512106
556.640625	-14.496134
558.105469	-14.500373
559.570312	-14.550911
561.035156	-14.589831
562.500000	-14.631339
563.964844	-14.714662
565.429687	-14.795925
566.894531	-14.939563
568.359375	-15.070425
569.824219	-15.164847
571.289062	-15.261528
572.753906	-15.368528
574.218750	-15.440368
575.683594	-15.520135
577.148437	-15.618058
578.613281	-15.736521
580.078125	-15.790642
581.542969	-15.848623
583.007812	-15.866784
584.472656	-15.889072
585.937500	-15.943426
587.402344	-16.001376
588.867187	-16.056177
590.332031	-16.104017
591.796875	-16.148057
593.261719	-16.180356
594.726562	-16.228795
596.191406	-16.261438
597.656250	-16.290081
599.121094	-16.311648
600.585937	-16.326702
602.050781	-16.314569
603.515625	-16.294146
604.980469	-16.276175
606.445312	-16.281420
607.910156	-16.277275
609.375000	-16.282474
610.839844	-16.326915
612.304687	-16.340981
613.769531	-16.348376
615.234375	-16.373028
616.699219	-16.420112
618.164062	-16.455646
619.628906	-16.472402
621.093750	-16.455731
622.558594	-16.425595
624.023437	-16.401634
625.488281	-16.384364
626.953125	-16.383197
628.417969	-16.387673
629.882812	-16.390136
631.347656	-16.386581
632.812500	-16.376828
634.277344	-16.344454
635.742187	-16.318048
637.207031	-16.327364
638.671875	-16.313408
640.136719	-16.300988
641.601562	-16.270296
643.066406	-16.244793
644.531250	-16.240128
645.996094	-16.230858
647.460937	-16.201227
648.925781	-16.132692
650.390625	-15.890311
651.855469	-15.490863
653.320312	-15.117880
654.785156	-14.905217
656.250000	-14.863741
657.714844	-14.987649
659.179687	-15.265937
660.644531	-15.640435
662.109375	-15.859860
663.574219	-15.875933
665.039062	-15.825161
666.503906	-15.753182
667.968750	-15.685741
669.433594	-15.642473
670.898437	-15.610790
672.363281	-15.519779
673.828125	-15.465224
675.292969	-15.394648
676.757812	-15.310564
678.222656	-15.240668
679.687500	-15.174690
681.152344	-15.098533
682.617187	-15.014677
684.082031	-14.917494
685.546875	-14.825131
687.011719	-14.709357
688.476562	-14.606017
689.941406	-14.486777
691.406250	-14.413081
692.871094	-14.347897
694.335937	-14.281638
695.800781	-14.223863
697.265625	-14.229144
698.730469	-14.280894
700.195312	-14.330975
701.660156	-14.347378
703.125000	-14.399469
704.589844	-14.471336
706.054687	-14.526643
707.519531	-14.610751
708.984375	-14.673308
710.449219	-14.743673
711.914062	-14.800395
713.378906	-14.849387
714.843750	-14.918835
716.308594	-14.968003
717.773437	-14.979096
719.238281	-14.973954
720.703125	-14.989781
722.167969	-15.060875
723.632812	-15.126611
725.097656	-15.213721
726.562500	-15.293321
728.027344	-15.344261
729.492187	-15.367259
730.957031	-15.414166
732.421875	-15.451097
733.886719	-15.485212
735.351562	-15.515434
736.816406	-15.543968
738.281250	-15.585198
739.746094	-15.647168
741.210937	-15.671352
742.675781	-15.714945
744.140625	-15.729163
745.605469	-15.770657
747.070312	-15.833169
748.535156	-15.828479
750.000000	-15.636137
751.464844	-15.189303
752.929687	-14.786543
754.394531	-14.539809
755.859375	-14.460605
757.324219	-14.547262
758.789062	-14.804063
760.253906	-15.239626
761.718750	-15.766421
763.183594	-16.089171
764.648437	-16.229877
766.113281	-16.238025
767.578125	-16.233930
769.042969	-16.252238
770.507812	-16.255161
771.972656	-16.247778
773.437500	-16.262360
774.902344	-16.259270
776.367187	-16.252086
777.832031	-16.278733
779.296875	-16.309930
780.761719	-16.321369
782.226562	-16.333188
783.691406	-16.346008
785.156250	-16.360408
786.621094	-16.374474
788.085937	-16.408018
789.550781	-16.438672
791.015625	-16.432228
792.480469	-16.445882
793.945312	-16.429468
795.410156	-16.420818
796.875000	-16.409272
798.339844	-16.389117
799.804687	-16.360558
801.269531	-16.345493
802.734375	-16.324873
804.199219	-16.334879
805.664062	-16.330794
807.128906	-16.304017
808.593750	-16.297458
810.058594	-16.280794
811.523437	-16.263680
812.988281	-16.223573
814.453125	-16.192127
815.917969	-16.191885
817.382812	-16.144703
818.847656	-16.105816
820.312500	-16.012084
821.777344	-15.988201
823.242187	-15.922976
824.707031	-15.812694
826.171875	-15.729526
827.636719	-15.607488
829.101562	-15.502282
830.566406	-15.418231
832.031250	-15.356374
833.496094	-15.325647
834.960937	-15.306860
836.425781	-15.329671
837.890625	-15.341550
839.355469	-15.387063
840.820312	-15.449644
842.285156	-15.522457
843.750000	-15.602034
845.214844	-15.670154
846.679687	-15.729931
848.144531	-15.808148
849.609375	-15.827509
851.074219	-15.716419
852.539062	-15.431830
854.003906	-15.185333
855.468750	-15.054962
856.933594	-15.090681
858.398437	-15.293072
859.863281	-15.664542
861.328125	-16.062703
862.792969	-16.306215
864.257812	-16.423382
865.722656	-16.457886
867.187500	-16.501259
868.652344	-16.506824
870.117187	-16.510924
871.582031	-16.516504
873.046875	-16.551240
874.511719	-16.560915
875.976562	-16.549957
877.441406	-16.572299
878.906250	-16.553107
880.371094	-16.545565
881.835937	-16.532389
883.300781	-16.567414
884.765625	-16.596607
886.230469	-16.587399
887.695312	-16.594884
889.160156	-16.582567
890.625000	-16.576329
892.089844	-16.606810
893.554687	-16.641231
895.019531	-16.655779
