# Cursors in Graph
f in Hz	A in dBV
413.085937	-13.932412
414.550781	-14.011178
416.015625	-14.133769
417.480469	-14.265332
418.945312	-14.366654
420.410156	-14.476248
421.875000	-14.559190
423.339844	-14.625955
424.804687	-14.704951
426.269531	-14.781243
427.734375	-14.848314
429.199219	-14.876941
430.664062	-14.839521
432.128906	-14.850485
433.593750	-14.899547
435.058594	-14.929569
436.523437	-14.953023
437.988281	-14.961661
439.453125	-14.980146
440.917969	-14.988534
442.382812	-14.994481
443.847656	-14.997331
445.312500	-14.973993
446.777344	-14.988062
448.242187	-14.991101
449.707031	-14.990014
451.171875	-14.880363
452.636719	-14.690518
454.101562	-14.518955
455.566406	-14.414533
457.031250	-14.438071
458.496094	-14.590327
459.960937	-14.773542
461.425781	-14.913193
462.890625	-14.947765
464.355469	-14.961322
465.820312	-14.954570
467.285156	-14.976580
468.750000	-14.978750
470.214844	-14.996685
471.679687	-15.003803
473.144531	-14.969872
474.609375	-14.950714
476.074219	-14.968734
477.539062	-15.002349
479.003906	-15.017869
480.468750	-15.026544
481.933594	-14.998995
483.398437	-14.979321
484.863281	-14.959046
486.328125	-14.923876
487.792969	-14.936336
489.257812	-14.971625
490.722656	-14.993269
492.187500	-15.008274
493.652344	-14.992220
495.117187	-15.002382
496.582031	-15.037346
498.046875	-15.064868
499.511719	-15.054766
500.976562	-15.080658
502.441406	-15.088092
503.906250	-15.094628
505.371094	-15.105699
506.835937	-15.106062
508.300781	-15.103555
509.765625	-15.102779
511.230469	-15.128811
512.695312	-15.107065
514.160156	-15.101036
515.625000	-15.113356
517.089844	-15.135034
518.554687	-15.137701
520.019531	-15.143104
521.484375	-15.164351
522.949219	-15.155296
524.414062	-15.157756
525.878906	-15.143300
527.343750	-15.141507
528.808594	-15.139522
530.273437	-15.119250
531.738281	-15.083688
533.203125	-15.010291
534.667969	-14.914639
536.132812	-14.868954
537.597656	-14.787691
539.062500	-14.706810
540.527344	-14.629215
541.992187	-14.588150
543.457031	-14.515232
544.921875	-14.461403
546.386719	-14.385096
547.851562	-14.353511
549.316406	-14.388068
550.781250	-14.451140
552.246094	-14.513874
553.710937	-14.610619
555.175781	-14.656258
556.640625	-14.743030
558.105469	-14.909370
559.570312	-15.118126
561.035156	-15.244154
562.500000	-15.339537
563.964844	-15.442500
565.429687	-15.494609
566.894531	-15.544886
568.359375	-15.614743
569.824219	-15.689961
571.289062	-15.758352
572.753906	-15.822846
574.218750	-15.870473
575.683594	-15.922115
577.148437	-15.967127
578.613281	-15.984650
580.078125	-16.026650
581.542969	-16.065362
583.007812	-16.048969
584.472656	-16.035882
585.937500	-16.059684
587.402344	-16.085771
588.867187	-16.171780
590.332031	-16.213151
591.796875	-16.203321
593.261719	-16.200418
594.726562	-16.213106
596.191406	-16.235286
597.656250	-16.242717
599.121094	-16.260515
600.585937	-16.254458
602.050781	-16.256551
603.515625	-16.271757
604.980469	-16.281849
606.445312	-16.283116
607.910156	-16.304777
609.375000	-16.324143
610.839844	-16.306228
612.304687	-16.296824
613.769531	-16.327363
615.234375	-16.345011
616.699219	-16.366798
618.164062	-16.371381
619.628906	-16.364399
621.093750	-16.358102
622.558594	-16.307066
624.023437	-16.301265
625.488281	-16.339127
626.953125	-16.305577
628.417969	-16.266411
629.882812	-16.257402
631.347656	-16.240409
632.812500	-16.231490
634.277344	-16.198596
635.742187	-16.151574
637.207031	-16.122427
638.671875	-16.079455
640.136719	-16.049972
641.601562	-16.023211
643.066406	-16.001167
644.531250	-15.967110
645.996094	-15.933871
647.460937	-15.908934
648.925781	-15.890407
650.390625	-15.808668
651.855469	-15.582944
653.320312	-15.340661
654.785156	-15.168441
656.250000	-15.121406
657.714844	-15.218060
659.179687	-15.342687
660.644531	-15.433019
662.109375	-15.427946
663.574219	-15.331911
665.039062	-15.241141
666.503906	-15.192550
667.968750	-15.111142
669.433594	-14.996413
670.898437	-14.906028
672.363281	-14.780806
673.828125	-14.662021
675.292969	-14.593715
676.757812	-14.497550
678.222656	-14.402981
679.687500	-14.345241
681.152344	-14.313750
682.617187	-14.289709
684.082031	-14.276112
685.546875	-14.306318
687.011719	-14.330507
688.476562	-14.391958
689.941406	-14.462399
691.406250	-14.505272
692.871094	-14.522397
694.335937	-14.579108
695.800781	-14.659226
697.265625	-14.749522
698.730469	-14.818789
700.195312	-14.870453
701.660156	-14.920020
703.125000	-14.993368
704.589844	-15.065835
706.054687	-15.069096
707.519531	-15.104514
708.984375	-15.147408
710.449219	-15.190317
711.914062	-15.214933
713.378906	-15.214313
714.843750	-15.209917
716.308594	-15.211866
717.773437	-15.228044
719.238281	-15.285213
720.703125	-15.341379
722.167969	-15.343608
723.632812	-15.368338
725.097656	-15.382749
726.562500	-15.441526
728.027344	-15.530444
729.492187	-15.589707
730.957031	-15.639027
732.421875	-15.657342
733.886719	-15.662531
735.351562	-15.675879
736.816406	-15.695028
738.281250	-15.729392
739.746094	-15.742959
741.210937	-15.752487
742.675781	-15.770879
744.140625	-15.798211
745.605469	-15.804834
747.070312	-15.815194
748.535156	-15.838042
750.000000	-15.750533
751.464844	-15.412719
752.929687	-15.008563
754.394531	-14.755359
755.859375	-14.666792
757.324219	-14.734160
758.789062	-14.967500
760.253906	-15.333834
761.718750	-15.757738
763.183594	-15.986618
764.648437	-16.056355
766.113281	-16.059770
767.578125	-16.102587
769.042969	-16.066335
770.507812	-16.033084
771.972656	-15.999921
773.437500	-16.009809
774.902344	-16.043847
776.367187	-16.088033
777.832031	-16.106531
779.296875	-16.118625
780.761719	-16.154503
782.226562	-16.147545
783.691406	-16.151270
785.156250	-16.142589
786.621094	-16.137171
788.085937	-16.130316
789.550781	-16.120192
791.015625	-16.136177
792.480469	-16.089126
793.945312	-16.062067
795.410156	-16.044298
796.875000	-16.013007
798.339844	-15.917336
799.804687	-15.877877
801.269531	-15.841891
802.734375	-15.812864
804.199219	-15.778036
805.664062	-15.754999
807.128906	-15.721204
808.593750	-15.675326
810.058594	-15.617610
811.523437	-15.546338
812.988281	-15.463138
814.453125	-15.419961
815.917969	-15.336728
817.382812	-15.244349
818.847656	-15.194709
820.312500	-15.164708
821.777344	-15.212290
823.242187	-15.253035
824.707031	-15.340185
826.171875	-15.417283
827.636719	-15.470951
829.101562	-15.569483
830.566406	-15.664893
832.031250	-15.740350
833.496094	-15.804017
834.960937	-15.906345
836.425781	-16.035900
837.890625	-16.111183
839.355469	-16.174125
840.820312	-16.194542
842.285156	-16.226843
843.750000	-16.233995
845.214844	-16.279522
846.679687	-16.309556
848.144531	-16.314638
849.609375	-16.218524
851.074219	-15.892261
