# Cursors in Graph
f in Hz	A in dBV
413.085937	-14.560571
414.550781	-14.560803
416.015625	-14.577601
417.480469	-14.595367
418.945312	-14.644738
420.410156	-14.672001
421.875000	-14.671564
423.339844	-14.689527
424.804687	-14.702708
426.269531	-14.723340
427.734375	-14.705469
429.199219	-14.703034
430.664062	-14.693284
432.128906	-14.685581
433.593750	-14.690209
435.058594	-14.670939
436.523437	-14.652724
437.988281	-14.644587
439.453125	-14.635829
440.917969	-14.652165
442.382812	-14.674765
443.847656	-14.683736
445.312500	-14.654971
446.777344	-14.619726
448.242187	-14.586998
449.707031	-14.566737
451.171875	-14.535478
452.636719	-14.432967
454.101562	-14.293924
455.566406	-14.214021
457.031250	-14.232957
458.496094	-14.351987
459.960937	-14.470426
461.425781	-14.505813
462.890625	-14.536125
464.355469	-14.551915
465.820312	-14.515660
467.285156	-14.499620
468.750000	-14.493757
470.214844	-14.502638
471.679687	-14.490579
473.144531	-14.529689
474.609375	-14.565419
476.074219	-14.565305
477.539062	-14.571964
479.003906	-14.570821
480.468750	-14.582655
481.933594	-14.517703
483.398437	-14.515548
484.863281	-14.538808
486.328125	-14.565112
487.792969	-14.563450
489.257812	-14.565522
490.722656	-14.561528
492.187500	-14.567358
493.652344	-14.549892
495.117187	-14.542289
496.582031	-14.536596
498.046875	-14.536067
499.511719	-14.553660
500.976562	-14.562739
502.441406	-14.543477
503.906250	-14.511864
505.371094	-14.476963
506.835937	-14.440782
508.300781	-14.426725
509.765625	-14.374527
511.230469	-14.332956
512.695312	-14.306239
514.160156	-14.249953
515.625000	-14.191664
517.089844	-14.140067
518.554687	-14.109029
520.019531	-14.056776
521.484375	-14.003366
522.949219	-13.982483
524.414062	-14.005707
525.878906	-14.065063
527.343750	-14.158280
528.808594	-14.225339
530.273437	-14.303009
531.738281	-14.389266
533.203125	-14.461054
534.667969	-14.517701
536.132812	-14.556416
537.597656	-14.606946
539.062500	-14.703929
540.527344	-14.739260
541.992187	-14.789628
543.457031	-14.849277
544.921875	-14.874974
546.386719	-14.879420
547.851562	-14.878990
549.316406	-14.896388
550.781250	-14.892083
552.246094	-14.845293
553.710937	-14.741776
555.175781	-14.648981
556.640625	-14.640159
558.105469	-14.719941
559.570312	-14.820596
561.035156	-14.909823
562.500000	-14.955830
563.964844	-14.975461
565.429687	-14.997931
566.894531	-15.020208
568.359375	-15.037811
569.824219	-15.031242
571.289062	-15.038651
572.753906	-15.026904
574.218750	-15.028262
575.683594	-15.027105
577.148437	-15.012824
578.613281	-15.006951
580.078125	-14.999434
581.542969	-14.995338
583.007812	-15.002537
584.472656	-15.034386
585.937500	-15.020351
587.402344	-15.021359
588.867187	-15.010438
590.332031	-14.997910
591.796875	-14.974900
593.261719	-14.976701
594.726562	-14.995556
