# Cursors in Graph
f in Hz	A in dBV
413.085937	-13.923507
414.550781	-13.928048
416.015625	-13.915128
417.480469	-13.888990
418.945312	-13.863157
420.410156	-13.800310
421.875000	-13.769803
423.339844	-13.780365
424.804687	-13.818405
426.269531	-13.874952
427.734375	-13.893760
429.199219	-13.883954
430.664062	-13.862065
432.128906	-13.857359
433.593750	-13.870394
435.058594	-13.915554
436.523437	-13.933595
437.988281	-13.932374
439.453125	-13.898691
440.917969	-13.900628
442.382812	-13.866176
443.847656	-13.863585
445.312500	-13.869300
446.777344	-13.890219
448.242187	-13.898532
449.707031	-13.829101
451.171875	-13.556790
452.636719	-13.273602
454.101562	-13.046442
455.566406	-12.956584
457.031250	-12.987202
458.496094	-13.154398
459.960937	-13.421184
461.425781	-13.728095
462.890625	-13.899760
464.355469	-13.932716
465.820312	-13.921116
467.285156	-13.941100
468.750000	-13.936711
470.214844	-13.923008
471.679687	-13.912157
473.144531	-13.911205
474.609375	-13.904387
476.074219	-13.903027
477.539062	-13.895231
479.003906	-13.884190
480.468750	-13.890821
481.933594	-13.911277
483.398437	-13.929964
484.863281	-13.948630
486.328125	-13.987067
487.792969	-13.992343
489.257812	-13.995942
490.722656	-13.998026
492.187500	-13.991783
493.652344	-13.995812
495.117187	-14.011874
496.582031	-14.033278
498.046875	-14.069305
499.511719	-14.060792
500.976562	-14.064226
502.441406	-14.078601
503.906250	-14.088621
505.371094	-14.094631
506.835937	-14.088254
508.300781	-14.063781
509.765625	-14.058332
511.230469	-14.069712
512.695312	-14.071738
514.160156	-14.080041
515.625000	-14.103518
517.089844	-14.104623
518.554687	-14.130223
520.019531	-14.150727
521.484375	-14.173378
522.949219	-14.187147
524.414062	-14.195612
525.878906	-14.180241
527.343750	-14.194846
528.808594	-14.176628
530.273437	-14.188460
531.738281	-14.214240
533.203125	-14.205955
534.667969	-14.179414
536.132812	-14.157336
537.597656	-14.112854
539.062500	-14.093682
540.527344	-14.080729
541.992187	-14.083995
543.457031	-14.078658
544.921875	-14.105579
546.386719	-14.105355
547.851562	-14.090468
549.316406	-14.015997
550.781250	-13.835984
552.246094	-13.595278
553.710937	-13.397976
555.175781	-13.290770
556.640625	-13.280215
558.105469	-13.373544
559.570312	-13.581884
561.035156	-13.835208
562.500000	-13.964026
563.964844	-13.977045
565.429687	-13.968711
566.894531	-13.953595
568.359375	-13.949680
569.824219	-13.954452
571.289062	-13.974915
572.753906	-13.972300
574.218750	-13.972264
575.683594	-13.968666
577.148437	-13.941014
578.613281	-13.936750
580.078125	-13.947879
581.542969	-13.958427
583.007812	-13.997247
584.472656	-14.009999
585.937500	-14.000124
587.402344	-13.989084
588.867187	-13.976055
590.332031	-13.966930
591.796875	-13.988219
593.261719	-13.983198
594.726562	-14.000162
596.191406	-14.020988
597.656250	-14.026321
599.121094	-14.072168
600.585937	-14.088917
602.050781	-14.097979
603.515625	-14.123028
604.980469	-14.146405
606.445312	-14.139208
607.910156	-14.142673
609.375000	-14.144406
610.839844	-14.165735
612.304687	-14.189657
613.769531	-14.209011
615.234375	-14.211459
616.699219	-14.223373
618.164062	-14.240276
619.628906	-14.244099
621.093750	-14.234852
622.558594	-14.255769
624.023437	-14.273758
625.488281	-14.267906
626.953125	-14.271405
628.417969	-14.258079
629.882812	-14.277797
631.347656	-14.280956
632.812500	-14.269357
634.277344	-14.298287
635.742187	-14.308999
637.207031	-14.284884
638.671875	-14.246339
640.136719	-14.243051
641.601562	-14.242391
643.066406	-14.290689
644.531250	-14.333234
645.996094	-14.335957
647.460937	-14.327583
648.925781	-14.327683
650.390625	-14.219894
651.855469	-14.040859
653.320312	-13.845575
654.785156	-13.699759
656.250000	-13.670308
657.714844	-13.762585
659.179687	-13.930095
660.644531	-14.150351
662.109375	-14.321095
663.574219	-14.362825
665.039062	-14.381253
666.503906	-14.397820
667.968750	-14.410546
669.433594	-14.409784
670.898437	-14.407503
672.363281	-14.407598
673.828125	-14.407773
675.292969	-14.438257
676.757812	-14.479506
678.222656	-14.476382
679.687500	-14.470045
681.152344	-14.452668
682.617187	-14.426370
684.082031	-14.406496
685.546875	-14.405399
687.011719	-14.389098
688.476562	-14.367014
689.941406	-14.337083
691.406250	-14.320459
692.871094	-14.320047
694.335937	-14.351410
695.800781	-14.309494
697.265625	-14.274636
698.730469	-14.228534
700.195312	-14.173663
701.660156	-14.145311
703.125000	-14.122304
704.589844	-14.134169
706.054687	-14.155081
