# Cursors in Graph
f in Hz	A in dBV
180.175781	-14.617551
313.476562	-14.873346
416.015625	-14.261022
520.019531	-15.125961
692.871094	-14.777806

# Spectral Data
f in Hz	A in dBV
0.000000	-14.567836
1.464844	-13.787427
2.929687	-13.130186
4.394531	-12.600203
5.859375	-12.182218
7.324219	-11.908812
8.789062	-11.762224
10.253906	-11.705832
11.718750	-11.746153
13.183594	-11.850233
14.648437	-11.991602
16.113281	-12.124731
17.578125	-12.281244
19.042969	-12.435502
20.507812	-12.572730
21.972656	-12.677034
23.437500	-12.757890
24.902344	-12.840657
26.367187	-12.922344
27.832031	-12.978040
29.296875	-13.042153
30.761719	-13.085440
32.226562	-13.149400
33.691406	-13.218376
35.156250	-13.289217
36.621094	-13.375197
38.085937	-13.427575
39.550781	-13.437920
41.015625	-13.459363
42.480469	-13.483461
43.945312	-13.503954
45.410156	-13.529709
46.875000	-13.539603
48.339844	-13.530847
49.804687	-13.458912
51.269531	-13.235363
52.734375	-12.862216
54.199219	-12.601934
55.664062	-12.502269
57.128906	-12.565287
58.593750	-12.779177
60.058594	-13.140411
61.523437	-13.450300
62.988281	-13.547294
64.453125	-13.522554
65.917969	-13.482547
67.382812	-13.462901
68.847656	-13.437800
70.312500	-13.405468
71.777344	-13.381790
73.242187	-13.301529
74.707031	-13.265814
76.171875	-13.225532
77.636719	-13.225689
79.101562	-13.222567
80.566406	-13.217756
82.031250	-13.248922
83.496094	-13.328355
84.960937	-13.396246
86.425781	-13.439056
87.890625	-13.487832
89.355469	-13.528968
90.820312	-13.563408
92.285156	-13.561189
93.750000	-13.595370
95.214844	-13.591875
96.679687	-13.625951
98.144531	-13.627423
99.609375	-13.630980
101.074219	-13.664627
102.539062	-13.700095
104.003906	-13.740296
105.468750	-13.786963
106.933594	-13.833601
108.398437	-13.868038
109.863281	-13.894281
111.328125	-13.861639
112.792969	-13.848045
114.257812	-13.816364
115.722656	-13.799090
117.187500	-13.810104
118.652344	-13.784085
120.117187	-13.730879
121.582031	-13.668236
123.046875	-13.575648
124.511719	-13.499795
125.976562	-13.434524
127.441406	-13.349862
128.906250	-13.252072
130.371094	-13.168366
131.835937	-13.058204
133.300781	-12.920988
134.765625	-12.747274
136.230469	-12.601817
137.695312	-12.503892
139.160156	-12.466800
140.625000	-12.494875
142.089844	-12.573373
143.554687	-12.718391
145.019531	-12.908569
146.484375	-13.150702
147.949219	-13.359852
149.414062	-13.507622
150.878906	-13.587340
152.343750	-13.506222
153.808594	-13.370053
155.273437	-13.277227
156.738281	-13.316157
158.203125	-13.494480
159.667969	-13.808812
161.132812	-14.127350
162.597656	-14.307787
164.062500	-14.363935
165.527344	-14.431463
166.992187	-14.474496
168.457031	-14.501522
169.921875	-14.485632
171.386719	-14.502613
172.851562	-14.533420
174.316406	-14.549814
175.781250	-14.559309
177.246094	-14.570125
178.710937	-14.599498
180.175781	-14.617551
181.640625	-14.648011
183.105469	-14.668751
184.570312	-14.690608
186.035156	-14.687210
187.500000	-14.682135
188.964844	-14.658211
190.429687	-14.672449
191.894531	-14.698077
193.359375	-14.664445
194.824219	-14.633697
196.289062	-14.618013
197.753906	-14.558283
199.218750	-14.549989
200.683594	-14.530945
202.148437	-14.530985
203.613281	-14.487798
205.078125	-14.472806
206.542969	-14.481015
208.007812	-14.481708
209.472656	-14.453519
210.937500	-14.410114
212.402344	-14.387544
213.867187	-14.353590
215.332031	-14.342954
216.796875	-14.297846
