# Cursors in Graph
f in Hz	A in dBV
413.085937	-14.280272
414.550781	-14.385673
416.015625	-14.451422
417.480469	-14.503101
418.945312	-14.566819
420.410156	-14.649665
421.875000	-14.695450
423.339844	-14.724747
424.804687	-14.779349
426.269531	-14.833984
427.734375	-14.856576
429.199219	-14.838620
430.664062	-14.839482
432.128906	-14.865021
433.593750	-14.862553
435.058594	-14.888565
436.523437	-14.920981
437.988281	-14.918750
439.453125	-14.905161
440.917969	-14.887320
442.382812	-14.859480
443.847656	-14.842266
445.312500	-14.843592
446.777344	-14.827871
448.242187	-14.843748
449.707031	-14.792936
451.171875	-14.526046
452.636719	-14.120253
454.101562	-13.829283
455.566406	-13.705354
457.031250	-13.748103
458.496094	-13.957385
459.960937	-14.311937
461.425781	-14.614383
462.890625	-14.715775
464.355469	-14.740419
465.820312	-14.739808
467.285156	-14.735467
468.750000	-14.723299
470.214844	-14.740831
471.679687	-14.760159
473.144531	-14.764524
474.609375	-14.750298
476.074219	-14.734341
477.539062	-14.719419
479.003906	-14.722246
480.468750	-14.718544
481.933594	-14.733852
483.398437	-14.728400
484.863281	-14.731326
486.328125	-14.726760
487.792969	-14.731507
489.257812	-14.723671
490.722656	-14.731845
492.187500	-14.747233
493.652344	-14.760610
495.117187	-14.771645
496.582031	-14.788721
498.046875	-14.805357
499.511719	-14.811971
500.976562	-14.820522
502.441406	-14.831579
503.906250	-14.856070
505.371094	-14.852761
506.835937	-14.840135
508.300781	-14.828198
509.765625	-14.819052
511.230469	-14.815638
512.695312	-14.821502
514.160156	-14.793309
515.625000	-14.777770
517.089844	-14.748493
518.554687	-14.739694
520.019531	-14.730338
521.484375	-14.697339
522.949219	-14.676121
524.414062	-14.653285
525.878906	-14.616826
527.343750	-14.565341
528.808594	-14.476992
530.273437	-14.402323
531.738281	-14.337513
533.203125	-14.262232
534.667969	-14.193514
536.132812	-14.142759
537.597656	-14.093761
539.062500	-14.099706
540.527344	-14.164284
541.992187	-14.276387
543.457031	-14.409135
544.921875	-14.531225
546.386719	-14.652121
547.851562	-14.774380
549.316406	-14.862522
550.781250	-14.814375
552.246094	-14.590593
553.710937	-14.299563
555.175781	-14.128169
556.640625	-14.120338
558.105469	-14.277307
559.570312	-14.597173
561.035156	-15.026883
562.500000	-15.352117
563.964844	-15.482991
565.429687	-15.548312
566.894531	-15.595267
568.359375	-15.626962
569.824219	-15.663017
571.289062	-15.714797
572.753906	-15.761338
574.218750	-15.773337
575.683594	-15.802849
577.148437	-15.826751
578.613281	-15.841421
580.078125	-15.855244
581.542969	-15.869486
583.007812	-15.922841
584.472656	-15.950940
585.937500	-15.941437
587.402344	-15.940824
588.867187	-15.955905
590.332031	-15.976402
591.796875	-15.981492
593.261719	-15.977202
594.726562	-15.959194
596.191406	-15.967647
597.656250	-15.981302
599.121094	-15.992588
600.585937	-16.024812
602.050781	-16.009184
603.515625	-16.006780
604.980469	-15.995525
606.445312	-15.996421
607.910156	-15.998372
609.375000	-16.001805
610.839844	-16.010717
612.304687	-16.012412
613.769531	-16.012248
615.234375	-16.009884
616.699219	-15.995977
618.164062	-15.989645
619.628906	-15.971642
621.093750	-15.948365
622.558594	-15.961132
624.023437	-15.963543
625.488281	-15.926340
626.953125	-15.877066
628.417969	-15.859471
629.882812	-15.842055
631.347656	-15.846304
632.812500	-15.846144
634.277344	-15.786875
635.742187	-15.737976
637.207031	-15.701485
638.671875	-15.676527
640.136719	-15.630077
641.601562	-15.593137
643.066406	-15.565193
644.531250	-15.537550
645.996094	-15.487961
647.460937	-15.450252
648.925781	-15.369762
650.390625	-15.223949
651.855469	-15.002810
653.320312	-14.732758
654.785156	-14.547447
656.250000	-14.483093
657.714844	-14.538977
659.179687	-14.610064
660.644531	-14.617062
662.109375	-14.552410
663.574219	-14.436990
665.039062	-14.329827
666.503906	-14.254246
667.968750	-14.181446
669.433594	-14.140609
670.898437	-14.118348
672.363281	-14.147063
673.828125	-14.198436
675.292969	-14.269051
676.757812	-14.338857
678.222656	-14.439364
679.687500	-14.505883
681.152344	-14.558940
682.617187	-14.606492
684.082031	-14.660554
685.546875	-14.697495
687.011719	-14.729397
688.476562	-14.780755
689.941406	-14.841684
691.406250	-14.867170
692.871094	-14.903782
694.335937	-14.941274
695.800781	-14.954605
697.265625	-14.972772
698.730469	-15.019666
700.195312	-15.055400
701.660156	-15.091570
703.125000	-15.104724
704.589844	-15.116655
706.054687	-15.147641
707.519531	-15.190734
708.984375	-15.195619
710.449219	-15.201654
711.914062	-15.214015
713.378906	-15.223385
714.843750	-15.242451
716.308594	-15.265096
717.773437	-15.275710
719.238281	-15.303445
720.703125	-15.323836
722.167969	-15.360702
723.632812	-15.376865
725.097656	-15.401228
726.562500	-15.431097
728.027344	-15.488771
729.492187	-15.522746
730.957031	-15.579722
732.421875	-15.578166
733.886719	-15.570731
735.351562	-15.604586
736.816406	-15.637451
738.281250	-15.680760
739.746094	-15.692820
741.210937	-15.687476
742.675781	-15.679765
744.140625	-15.672435
745.605469	-15.666392
747.070312	-15.680489
748.535156	-15.667520
750.000000	-15.319134
751.464844	-14.747293
752.929687	-14.308788
754.394531	-14.044549
755.859375	-13.948138
757.324219	-14.014064
758.789062	-14.248672
760.253906	-14.658488
761.718750	-15.238402
763.183594	-15.707666
764.648437	-15.817397
766.113281	-15.835002
767.578125	-15.854598
769.042969	-15.887387
770.507812	-15.902170
771.972656	-15.879124
773.437500	-15.857650
774.902344	-15.831410
776.367187	-15.841877
777.832031	-15.841150
779.296875	-15.829986
780.761719	-15.801685
782.226562	-15.808650
783.691406	-15.782599
785.156250	-15.745852
786.621094	-15.715754
788.085937	-15.705728
789.550781	-15.671997
791.015625	-15.601086
792.480469	-15.531790
793.945312	-15.473672
795.410156	-15.378985
796.875000	-15.282324
798.339844	-15.187428
799.804687	-15.116289
801.269531	-15.046901
802.734375	-15.000005
804.199219	-14.988653
805.664062	-15.022584
807.128906	-15.088414
808.593750	-15.163871
810.058594	-15.250222
811.523437	-15.340377
812.988281	-15.448820
814.453125	-15.546020
815.917969	-15.649535
817.382812	-15.739400
818.847656	-15.796530
820.312500	-15.845210
821.777344	-15.869599
823.242187	-15.904307
824.707031	-15.947179
826.171875	-15.977411
827.636719	-16.003044
829.101562	-16.029741
830.566406	-16.064506
832.031250	-16.114002
833.496094	-16.165475
834.960937	-16.184007
836.425781	-16.216385
837.890625	-16.223419
839.355469	-16.240035
840.820312	-16.253538
842.285156	-16.259536
843.750000	-16.286458
845.214844	-16.296021
846.679687	-16.313165
848.144531	-16.223611
849.609375	-15.801871
851.074219	-15.150160
852.539062	-14.650713
854.003906	-14.334886
855.468750	-14.191789
856.933594	-14.215660
858.398437	-14.408096
859.863281	-14.779012
861.328125	-15.335411
862.792969	-16.013547
864.257812	-16.349465
865.722656	-16.386889
867.187500	-16.395804
868.652344	-16.378456
870.117187	-16.384900
871.582031	-16.387556
873.046875	-16.362778
874.511719	-16.334339
875.976562	-16.328693
877.441406	-16.326112
878.906250	-16.289678
880.371094	-16.258625
881.835937	-16.196544
883.300781	-16.177428
884.765625	-16.183330
886.230469	-16.219764
887.695312	-16.239896
889.160156	-16.239338
890.625000	-16.246392
892.089844	-16.230028
893.554687	-16.199087
895.019531	-16.173879
896.484375	-16.138021
897.949219	-16.104874
899.414062	-16.099751
900.878906	-16.039820
902.343750	-15.958117
903.808594	-15.921169
905.273437	-15.904856
906.738281	-15.864149
908.203125	-15.839320
909.667969	-15.785308
911.132812	-15.747221
912.597656	-15.692957
914.062500	-15.648158
915.527344	-15.595805
916.992187	-15.525498
918.457031	-15.449991
919.921875	-15.382129
921.386719	-15.322859
922.851562	-15.248240
924.316406	-15.154490
925.781250	-15.050666
927.246094	-14.942037
928.710937	-14.851508
930.175781	-14.764995
931.640625	-14.698033
933.105469	-14.652296
934.570312	-14.619885
936.035156	-14.604956
937.500000	-14.611683
938.964844	-14.647212
940.429687	-14.666309
941.894531	-14.698103
943.359375	-14.758826
944.824219	-14.817215
946.289062	-14.859506
947.753906	-14.932560
949.218750	-14.999215
950.683594	-15.020658
952.148437	-14.900537
953.613281	-14.668866
955.078125	-14.502585
956.542969	-14.483977
958.007812	-14.623760
959.472656	-14.905240
960.937500	-15.191013
962.402344	-15.364245
963.867187	-15.466266
965.332031	-15.597649
966.796875	-15.716629
968.261719	-15.824508
969.726562	-15.898199
971.191406	-15.958760
972.656250	-16.002083
974.121094	-16.038367
975.585937	-16.066224
977.050781	-16.107094
978.515625	-16.130253
979.980469	-16.137744
981.445312	-16.127841
982.910156	-16.145341
984.375000	-16.177640
985.839844	-16.215512
987.304687	-16.273378
988.769531	-16.315481
990.234375	-16.351521
991.699219	-16.371656
993.164062	-16.406994
994.628906	-16.425224
996.093750	-16.446913
997.558594	-16.456480

