Time,X(CH1),X(CH2),
Second,Volt,Volt,
-5.6000042e-01,7.99999e-02,4.00002e-02,
-5.5707073e-01,7.99999e-02,4.00002e-02,
-5.5414104e-01,7.99999e-02,4.00002e-02,
-5.5121136e-01,7.99999e-02,4.00002e-02,
-5.4828167e-01,7.99999e-02,4.00002e-02,
-5.4535198e-01,7.99999e-02,4.00002e-02,
-5.4242229e-01,7.99999e-02,4.00002e-02,
-5.3949261e-01,7.99999e-02,4.00002e-02,
-5.3656292e-01,7.99999e-02,4.00002e-02,
-5.3363323e-01,7.99999e-02,4.00002e-02,
-5.3070354e-01,7.99999e-02,4.00002e-02,
-5.2777386e-01,7.99999e-02,4.00002e-02,
-5.2484417e-01,7.99999e-02,4.00002e-02,
-5.2191448e-01,7.99999e-02,4.00002e-02,
-5.1898479e-01,7.99999e-02,4.00002e-02,
-5.1605511e-01,7.99999e-02,4.00002e-02,
-5.1312542e-01,7.99999e-02,4.00002e-02,
-5.1019573e-01,7.99999e-02,4.00002e-02,
-5.0726604e-01,7.99999e-02,4.00002e-02,
-5.0433636e-01,7.99999e-02,4.00002e-02,
-5.0140667e-01,7.99999e-02,4.00002e-02,
-4.9847698e-01,7.99999e-02,2.00000e-02,
-4.9554729e-01,7.99999e-02,2.00000e-02,
-4.9261761e-01,7.99999e-02,4.00002e-02,
-4.8968792e-01,7.99999e-02,2.00000e-02,
-4.8675823e-01,7.99999e-02,2.00000e-02,
-4.8382854e-01,7.99999e-02,2.00000e-02,
-4.8089886e-01,7.99999e-02,2.00000e-02,
-4.7796917e-01,7.99999e-02,2.00000e-02,
-4.7503948e-01,7.99999e-02,4.00002e-02,
-4.7210979e-01,7.99999e-02,2.00000e-02,
-4.6918011e-01,7.99999e-02,4.00002e-02,
-4.6625042e-01,7.99999e-02,4.00002e-02,
-4.6332073e-01,7.99999e-02,2.00000e-02,
-4.6039104e-01,7.99999e-02,2.00000e-02,
-4.5746136e-01,7.99999e-02,4.00002e-02,
-4.5453167e-01,7.99999e-02,2.00000e-02,
-4.5160198e-01,1.20000e-01,4.00002e-02,
-4.4867229e-01,7.99999e-02,2.00000e-02,
-4.4574261e-01,7.99999e-02,2.00000e-02,
-4.4281292e-01,7.99999e-02,2.00000e-02,
-4.3988323e-01,7.99999e-02,2.00000e-02,
-4.3695354e-01,7.99999e-02,4.00002e-02,
-4.3402386e-01,4.00000e-02,2.00000e-02,
-4.3109417e-01,7.99999e-02,2.00000e-02,
-4.2816448e-01,7.99999e-02,2.00000e-02,
-4.2523479e-01,7.99999e-02,2.00000e-02,
-4.2230511e-01,7.99999e-02,4.00002e-02,
-4.1937542e-01,7.99999e-02,2.00000e-02,
-4.1644573e-01,7.99999e-02,4.00002e-02,
-4.1351604e-01,7.99999e-02,2.00000e-02,
-4.1058636e-01,7.99999e-02,2.00000e-02,
-4.0765667e-01,4.00000e-02,2.00000e-02,
-4.0472698e-01,7.99999e-02,2.00000e-02,
-4.0179729e-01,4.00000e-02,4.00002e-02,
-3.9886761e-01,4.00000e-02,4.00002e-02,
-3.9593792e-01,7.99999e-02,2.00000e-02,
-3.9300823e-01,7.99999e-02,4.00002e-02,
-3.9007854e-01,7.99999e-02,4.00002e-02,
-3.8714886e-01,4.00000e-02,2.00000e-02,
-3.8421917e-01,7.99999e-02,2.00000e-02,
-3.8128948e-01,7.99999e-02,4.00002e-02,
-3.7835979e-01,7.99999e-02,2.00000e-02,
-3.7543011e-01,7.99999e-02,2.00000e-02,
-3.7250042e-01,7.99999e-02,2.00000e-02,
-3.6957073e-01,7.99999e-02,2.00000e-02,
-3.6664104e-01,7.99999e-02,2.00000e-02,
-3.6371136e-01,7.99999e-02,4.00002e-02,
-3.6078167e-01,7.99999e-02,2.00000e-02,
-3.5785198e-01,4.00000e-02,4.00002e-02,
-3.5492229e-01,7.99999e-02,2.00000e-02,
-3.5199261e-01,7.99999e-02,2.00000e-02,
-3.4906292e-01,1.20000e-01,2.00000e-02,
-3.4613323e-01,7.99999e-02,2.00000e-02,
-3.4320354e-01,4.00000e-02,2.00000e-02,
-3.4027386e-01,7.99999e-02,2.00000e-02,
-3.3734417e-01,7.99999e-02,2.00000e-02,
-3.3441448e-01,7.99999e-02,2.00000e-02,
-3.3148479e-01,7.99999e-02,2.00000e-02,
-3.2855511e-01,7.99999e-02,2.00000e-02,
-3.2562542e-01,7.99999e-02,2.00000e-02,
-3.2269573e-01,7.99999e-02,4.00002e-02,
-3.1976604e-01,7.99999e-02,4.00002e-02,
-3.1683636e-01,7.99999e-02,4.00002e-02,
-3.1390667e-01,7.99999e-02,2.00000e-02,
-3.1097698e-01,4.00000e-02,2.00000e-02,
-3.0804729e-01,7.99999e-02,2.00000e-02,
-3.0511761e-01,7.99999e-02,2.00000e-02,
-3.0218792e-01,7.99999e-02,2.00000e-02,
-2.9925823e-01,7.99999e-02,2.00000e-02,
-2.9632854e-01,7.99999e-02,2.00000e-02,
-2.9339886e-01,7.99999e-02,4.00002e-02,
-2.9046917e-01,7.99999e-02,2.00000e-02,
-2.8753948e-01,-0.00000e+00,2.00000e-02,
-2.8460979e-01,7.99999e-02,2.00000e-02,
-2.8168011e-01,7.99999e-02,2.00000e-02,
-2.7875042e-01,7.99999e-02,2.00000e-02,
-2.7582073e-01,4.00000e-02,4.00002e-02,
