Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 3.959
10.000 90.435 3.671
20.000 91.728 3.677
30.000 93.841 3.386
40.000 96.718 3.526
50.000 100.289 3.823
60.000 104.478 4.451
70.000 109.207 4.976
80.000 114.404 5.825
90.000 120.000 6.469
100.000 125.932 6.473
110.000 132.145 6.999
120.000 138.590 6.477
130.000 145.225 6.437
140.000 152.009 6.129
150.000 158.909 6.584
160.000 165.894 7.452
170.000 172.933 8.009
180.000 180.000 7.660
