Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 32.479
10.000 90.435 37.106
20.000 91.728 37.173
30.000 93.841 31.840
40.000 96.718 32.902
50.000 100.289 29.176
60.000 104.478 38.512
70.000 109.207 47.048
80.000 114.404 50.626
90.000 120.000 54.775
100.000 125.932 38.688
110.000 132.145 38.644
120.000 138.590 18.633
130.000 145.225 16.083
140.000 152.009 53.317
150.000 158.909 70.216
160.000 165.894 94.762
170.000 172.933 110.001
180.000 180.000 116.473
