Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 15.969
10.000 90.435 13.676
20.000 91.728 11.558
30.000 93.841 7.395
40.000 96.718 5.461
50.000 100.289 8.832
60.000 104.478 13.997
70.000 109.207 16.909
80.000 114.404 28.747
90.000 120.000 35.101
100.000 125.932 41.401
110.000 132.145 45.433
120.000 138.590 49.785
130.000 145.225 54.740
140.000 152.009 59.539
150.000 158.909 61.648
160.000 165.894 63.093
170.000 172.933 61.822
180.000 180.000 60.808
