Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 87.144
10.000 90.435 86.640
20.000 91.728 103.280
30.000 93.841 99.981
40.000 96.718 75.572
50.000 100.289 92.012
60.000 104.478 64.792
70.000 109.207 41.878
80.000 114.404 38.298
90.000 120.000 9.597
100.000 125.932 14.529
110.000 132.145 45.167
120.000 138.590 65.932
130.000 145.225 85.717
140.000 152.009 100.991
150.000 158.909 114.038
160.000 165.894 125.916
170.000 172.933 129.115
180.000 180.000 129.279
