Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 10.454
10.000 90.435 9.828
20.000 91.728 11.514
30.000 93.841 16.498
40.000 96.718 18.711
50.000 100.289 19.003
60.000 104.478 15.175
70.000 109.207 8.598
80.000 114.404 3.896
90.000 120.000 15.483
100.000 125.932 26.378
110.000 132.145 32.592
120.000 138.590 30.399
130.000 145.225 19.400
140.000 152.009 3.668
150.000 158.909 17.942
160.000 165.894 36.822
170.000 172.933 49.723
180.000 180.000 55.027
