Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 83.608
10.000 90.435 92.540
20.000 91.728 86.223
30.000 93.841 86.338
40.000 96.718 83.062
50.000 100.289 62.900
60.000 104.478 76.615
70.000 109.207 91.344
80.000 114.404 69.926
90.000 120.000 49.721
100.000 125.932 20.264
110.000 132.145 43.899
120.000 138.590 45.574
130.000 145.225 73.563
140.000 152.009 90.220
150.000 158.909 108.009
160.000 165.894 122.141
170.000 172.933 125.226
180.000 180.000 126.460
