Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 4.949
10.000 90.435 5.484
20.000 91.728 5.112
30.000 93.841 6.246
40.000 96.718 7.268
50.000 100.289 10.368
60.000 104.478 13.928
70.000 109.207 17.759
80.000 114.404 20.053
90.000 120.000 27.487
100.000 125.932 30.093
110.000 132.145 31.800
120.000 138.590 37.446
130.000 145.225 39.499
140.000 152.009 43.212
150.000 158.909 46.248
160.000 165.894 49.256
170.000 172.933 48.916
180.000 180.000 48.942
